duration,wage-increase-global,wage-increase-first-year,wage-increase-second-year,working-hours,standby-pay,delay-hours,education-allowance,statutory-holidays,vacation,teleworking,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1,5,NA,NA,2,NA,2,NA,11,average,NA,NA,yes,NA,good
2,4.5,5.8,NA,17.5,NA,NA,yes,11,below_average,NA,full,NA,full,good
2,4.5,5.8,NA,17.5,NA,NA,yes,11,below_average,NA,full,NA,full,good
2,4.5,5.8,NA,17.5,NA,NA,yes,11,below_average,NA,full,NA,full,good
2,NA,NA,NA,19,NA,5,NA,11,generous,yes,half,yes,half,good
3,3.7,4,5,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,good
3,4.5,4.5,5,20,NA,NA,NA,12,average,NA,half,yes,half,good
2,2,2.5,NA,17.5,NA,6,yes,12,average,NA,NA,NA,NA,good
3,4,5,5,NA,NA,NA,NA,12,generous,yes,none,yes,half,good
3,6.9,4.8,2.3,20,NA,3,NA,12,below_average,NA,NA,NA,NA,good
2,3,7,NA,19,12,25,yes,11,below_average,yes,half,yes,NA,good
1,5.7,NA,NA,20,NA,4,NA,11,generous,yes,full,NA,NA,good
3,3.5,4,4.6,18,NA,3,NA,13,generous,NA,NA,yes,full,good
2,6.4,6.4,NA,19,NA,4,NA,15,NA,NA,full,NA,NA,good
2,3.5,4,NA,20,NA,2,no,10,below_average,no,half,NA,half,bad
3,3.5,4,5.1,18.5,NA,4,NA,13,generous,NA,full,yes,full,good
1,3,NA,NA,18,NA,10,no,11,generous,NA,NA,NA,NA,good
2,4.5,4,NA,18.5,NA,NA,NA,11,average,NA,full,yes,NA,good
1,2.8,NA,NA,17.5,NA,2,NA,12,below_average,NA,NA,NA,NA,good
1,2.1,NA,NA,20,2,3,no,9,below_average,yes,half,NA,none,bad
1,2,NA,NA,19,NA,NA,yes,11,average,no,none,no,none,bad
2,4,5,NA,17.5,13,5,NA,15,generous,NA,NA,NA,NA,good
2,4.3,4.4,NA,19,NA,4,NA,12,generous,NA,full,NA,full,good
2,2.5,3,NA,20,NA,NA,NA,11,below_average,NA,NA,NA,NA,bad
3,3.5,4,4.6,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,good
2,4.5,4,NA,20,NA,4,NA,10,generous,NA,half,NA,full,good
1,6,NA,NA,19,8,3,NA,9,generous,NA,NA,NA,NA,good
3,2,2,2,20,NA,NA,NA,10,below_average,NA,half,yes,full,bad
2,4.5,4.5,NA,NA,NA,NA,yes,10,below_average,yes,none,NA,half,good
2,3,3,NA,16.5,NA,NA,yes,12,generous,NA,NA,yes,full,good
2,5,4,NA,18.5,NA,5,no,11,below_average,yes,full,yes,full,good
3,NA,2.5,NA,17.5,NA,NA,NA,10,average,NA,NA,yes,full,bad
3,4.5,4.5,5,20,NA,NA,no,11,average,NA,half,NA,NA,good
3,3,2,2.5,20,NA,5,no,10,below_average,yes,half,yes,full,bad
2,2.5,2.5,NA,19,NA,NA,NA,10,average,NA,NA,NA,NA,bad
2,4,5,NA,20,NA,3,no,10,below_average,no,none,NA,none,bad
3,2,2.5,2.1,20,2,1,no,10,below_average,no,half,yes,full,bad
2,2,2,NA,20,NA,NA,no,11,average,yes,none,yes,full,bad
1,2,NA,NA,20,4,0,no,11,generous,no,none,no,none,bad
1,2.8,NA,NA,19,2,3,no,9,below_average,yes,half,NA,none,bad
3,2,2.5,2,18.5,NA,NA,NA,10,average,NA,NA,yes,none,bad
2,4.5,4,NA,20,NA,4,NA,12,average,yes,full,yes,half,good
1,4,NA,NA,NA,NA,NA,yes,11,average,no,none,no,none,bad
2,2,3,NA,19,NA,NA,yes,12,generous,yes,none,yes,full,bad
2,2.5,2.5,NA,19.5,NA,NA,NA,12,average,NA,NA,yes,NA,bad
2,2.5,3,NA,20,NA,NA,NA,11,below_average,NA,NA,yes,NA,bad
2,4,4,NA,20,NA,3,NA,10,below_average,no,none,NA,none,bad
2,4.5,4,NA,20,NA,2,no,10,below_average,no,half,NA,half,bad
2,4.5,4,NA,20,NA,5,NA,11,average,NA,full,yes,full,good
2,4.6,4.6,NA,19,NA,NA,NA,NA,NA,yes,half,NA,half,good
2,5,4.5,NA,19,14,5,NA,11,below_average,yes,NA,NA,full,good
2,5.7,4.5,NA,20,NA,NA,NA,11,average,yes,full,yes,full,good
2,7,5.3,NA,NA,NA,NA,NA,11,NA,yes,full,NA,NA,good
3,2,3,NA,NA,NA,NA,yes,NA,NA,yes,half,yes,NA,good
3,3.5,4,4.5,17.5,NA,NA,NA,13,generous,NA,NA,yes,full,good
3,4,3.5,NA,20,NA,6,NA,11,average,yes,full,NA,full,good
3,5,4.4,NA,19,10,6,NA,11,generous,yes,NA,NA,full,good
3,5,5,5,20,NA,NA,NA,12,average,NA,half,yes,half,good
3,6,6,4,17.5,NA,14,NA,9,generous,yes,full,yes,full,good
